

=== 监控会话开始于 2025-09-22 10:54:07 ===
[2025-09-22 10:54:18] 监控已启动
[2025-09-22 10:54:18] 尝试连接端点: wss://ws.blockchain.info/inv
[2025-09-22 10:54:19] 区块订阅成功
[2025-09-22 10:54:29] [DEBUG] 心跳维持正常
[2025-09-22 10:54:39] [DEBUG] 心跳维持正常
[2025-09-22 10:54:49] [DEBUG] 心跳维持正常
[2025-09-22 10:54:59] [DEBUG] 心跳维持正常
[2025-09-22 10:55:09] [DEBUG] 心跳维持正常
[2025-09-22 10:55:19] [DEBUG] 心跳维持正常
[2025-09-22 10:55:29] [DEBUG] 心跳维持正常
[2025-09-22 10:55:39] [DEBUG] 心跳维持正常
[2025-09-22 10:55:49] [DEBUG] 心跳维持正常
[2025-09-22 10:55:59] [DEBUG] 心跳维持正常
[2025-09-22 10:56:09] [DEBUG] 心跳维持正常
[2025-09-22 10:56:19] [DEBUG] 心跳维持正常
[2025-09-22 10:56:29] [DEBUG] 心跳维持正常
[2025-09-22 10:56:39] [DEBUG] 心跳维持正常
[2025-09-22 10:56:49] [DEBUG] 心跳维持正常
[2025-09-22 10:56:59] [DEBUG] 心跳维持正常
[2025-09-22 10:57:09] [DEBUG] 心跳维持正常
[2025-09-22 10:57:19] [DEBUG] 心跳维持正常
[2025-09-22 10:57:29] [DEBUG] 心跳维持正常
[2025-09-22 10:57:32] 监控已停止
[2025-09-22 10:57:32] 监控已停止


=== 监控会话开始于 2025-09-22 11:12:51 ===
[2025-09-22 11:12:53] 监控已启动
[2025-09-22 11:12:53] 尝试连接端点: wss://ws.blockchain.info/inv
[2025-09-22 11:12:54] 区块订阅成功
[2025-09-22 11:13:04] [DEBUG] 心跳维持正常
[2025-09-22 11:13:14] [DEBUG] 心跳维持正常
[2025-09-22 11:13:24] [DEBUG] 心跳维持正常
[2025-09-22 11:13:34] [DEBUG] 心跳维持正常
[2025-09-22 11:13:44] [DEBUG] 心跳维持正常
[2025-09-22 11:13:54] [DEBUG] 心跳维持正常
[2025-09-22 11:14:04] [DEBUG] 心跳维持正常
[2025-09-22 11:14:14] [DEBUG] 心跳维持正常
[2025-09-22 11:14:24] [DEBUG] 心跳维持正常
[2025-09-22 11:14:34] [DEBUG] 心跳维持正常
[2025-09-22 11:14:44] [DEBUG] 心跳维持正常
[2025-09-22 11:14:54] [DEBUG] 心跳维持正常
[2025-09-22 11:15:04] [DEBUG] 心跳维持正常
[2025-09-22 11:15:14] [DEBUG] 心跳维持正常
[2025-09-22 11:15:24] [DEBUG] 心跳维持正常
[2025-09-22 11:15:34] [DEBUG] 心跳维持正常
[2025-09-22 11:15:44] [DEBUG] 心跳维持正常
[2025-09-22 11:15:54] [DEBUG] 心跳维持正常
