feature,importance
cachestat_BUFFERS(MB),0.3761782758278858
cachestat_CACHED(MB),0.28899815101755216
ramusage_USED(%),0.18655738620364296
cpuunclaimed_CPU(%),0.1063691578462926
biopattern_KBYTES,0.015698145602890616
biopattern_COUNT,0.009355944653804222
biopattern_RND(%),0.0059269414988357486
cachestat_HITS,0.005649120627161514
biopattern_SEQ(%),0.0025796069553653796
pidpersec_PID/s,0.0013806626879614959
tcpstates_NEWSTATE,0.0011060837418125468
bindsnoop_PROT_UDP,0.00018546368806983177
bindsnoop_PROT_TCP,1.5059648725164705e-05
