feature,importance
cachestat_CACHED(MB),0.38096446502181097
cachestat_BUFFERS(MB),0.32224592791650475
ramusage_USED(%),0.15754297644428095
cpuunclaimed_CPU(%),0.09608624527608789
biopattern_KBYTES,0.018632853595374095
biopattern_COUNT,0.008570743889671708
biopattern_RND(%),0.006673237230566615
cachestat_HITS,0.004075149032088081
biopattern_SEQ(%),0.0037772055048440993
pidpersec_PID/s,0.0008197810546543414
tcpstates_NEWSTATE,0.0005344223483001038
bindsnoop_PROT_UDP,7.107532840782998e-05
bindsnoop_PROT_TCP,5.917357408577294e-06
