feature,importance
cachestat_BUFFERS(MB),0.5293827392702051
cpuunclaimed_CPU(%),0.19020799429924254
cachestat_CACHED(MB),0.15370647283896588
ramusage_USED(%),0.11481800602854092
biopattern_KBYTES,0.011199337827881005
cachestat_HITS,0.0006700901640316504
biopattern_COUNT,1.3466568210201544e-05
biopattern_RND(%),8.110933925355913e-07
pidpersec_PID/s,7.773333692988387e-07
bindsnoop_PROT_UDP,2.916407453962395e-07
tcpstates_NEWSTATE,1.2935415436063283e-08
bindsnoop_PROT_TCP,1.9234783959300037e-19
biopattern_SEQ(%),1.8833428702047353e-19
