timestamp,pid,name,cmdline,cpu_pct,mem_pct,rss_mb,io_read_kbps,io_write_kbps,biopattern_COUNT,biopattern_KBYTES,biopattern_RND(%),biopattern_SEQ(%),tcpstates_NEWSTATE,bindsnoop_PROT_TCP,bindsnoop_PROT_UDP,pidpersec_PID/s,cachestat_HITS,cachestat_BUFFERS(MB),cachestat_CACHED(MB)
1758273186,3510,code,/proc/self/exe --type=gpu-process --disable-gpu-sandbox --no-sandbox --crashpad-handler-pid=3414 --enable-crash-reporter=406b6f7c-6c33-40e0-974c-ff7e2e416e18 no_channel --user-data-dir=/home/admin1/.config/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --use-gl=angle --use-angle=swiftshader-webgl --shared-files --field-trial-handle=3 i 7176041439961791311 13956142076047266361 262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports EarlyEstablishGpuChannel EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion FontationsLinuxSystemFonts ScreenAIOCREnabled SpareRendererForSitePerProcess --variations-seed-version,0.0,2.952,114.199,0.0,0.0,0.0,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.039,1134.902
1758273186,3527,code,/snap/code/206/usr/share/code/code --type=zygote --no-sandbox,53.1,10.406,402.578,0.0,0.0,0.0,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.039,1134.902
1758273186,2524,Xwayland,/usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.B9C1C3 -listen 4 -listen 5 -displayfd 6 -initfd 7,0.0,0.868,33.574,0.0,0.0,0.0,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.039,1134.902
1758273186,4912,code,/proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=3414 --enable-crash-reporter=406b6f7c-6c33-40e0-974c-ff7e2e416e18 no_channel --user-data-dir=/home/admin1/.config/Code --standard-schemes=vscode-webview vscode-file --secure-schemes=vscode-webview vscode-file --cors-schemes=vscode-webview vscode-file --fetch-schemes=vscode-webview vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3 i 7176041439961791311 13956142076047266361 262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports EarlyEstablishGpuChannel EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion FontationsLinuxSystemFonts ScreenAIOCREnabled SpareRendererForSitePerProcess --variations-seed-version,0.0,4.564,176.57,0.0,0.0,0.0,0.0,-1.0,-1.0,1,1,0,4.0,-1,45.039,1134.902
1758273186,26564,python3,python3 collect_proc_features.py --interval 1 --topn 100 --out proc_features.csv,96.4,0.365,14.125,0.0,0.0,0.0,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.039,1134.902
1758273187,4912,code,/proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --no-sandbox --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=3414 --enable-crash-reporter=406b6f7c-6c33-40e0-974c-ff7e2e416e18 no_channel --user-data-dir=/home/admin1/.config/Code --standard-schemes=vscode-webview vscode-file --secure-schemes=vscode-webview vscode-file --cors-schemes=vscode-webview vscode-file --fetch-schemes=vscode-webview vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3 i 7176041439961791311 13956142076047266361 262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports EarlyEstablishGpuChannel EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion FontationsLinuxSystemFonts ScreenAIOCREnabled SpareRendererForSitePerProcess --variations-seed-version,0.0,4.564,176.57,0.0,0.0,100.99,0.0,-1.0,-1.0,11,1,0,0.0,-1,45.047,1134.887
1758273187,26564,python3,python3 collect_proc_features.py --interval 1 --topn 100 --out proc_features.csv,113.8,0.368,14.25,0.0,0.0,5873.873,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.047,1134.887
1758273188,3527,code,/snap/code/206/usr/share/code/code --type=zygote --no-sandbox,0.0,10.263,397.023,0.0,0.0,17.305,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.047,1131.586
1758273188,26564,python3,python3 collect_proc_features.py --interval 1 --topn 100 --out proc_features.csv,0.0,0.368,14.25,0.0,0.0,5451.872,0.0,-1.0,-1.0,-1,0,0,0.0,-1,45.047,1131.586
1758273189,2042,gnome-shell,/usr/bin/gnome-shell,0.0,4.776,184.746,0.0,0.0,0.0,0.0,-1.0,-1.0,-1,0,0,2.0,-1,45.047,1128.777
